                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
PauseMenu01,,,,Reprendre,Devam Et,Fortsetzen,Reanudar,Resumir,继续,Riprendi,Продолжить,재개,続ける
PauseMenu02,,,,Options,Ayarlar,Optionen,Opciones,Opções,选项,Opzioni,Настройки,설정,設定
PauseMenu03,,,,Retour au menu principal,Ana menüye dön,Zurück zum Hauptmenü,Volver al menú principal,Voltar ao menu principal,回到主菜单,Torna al menu principale,Выход в главное меню,메인 메뉴로 복귀,メインメニューに戻る
TutoHint,,,,"D'ailleurs, ce non-jeu ne contient aucun système d’aide. Donc inutile de cliquer sur l'icone ci-dessous pour avoir un indice.\nCe serait trop facile.",Oyun olmayan yerde ipucu sistemi olmaz. Yani aşağıdaki butona tıklayarak bir ipucu istemenin hiçbir manası yok.\nZaten bu çok kolay olurdu.,"Es ist nicht so, als ob dieses Nicht-Spiel ein Hinweissystem hätte. Es gibt also keinen Grund, auf das Symbol unten zu klicken, um einen Hinweis zu bekommen.\nDas wäre ja viel zu einfach.","No es que este no juego tenga un sistema de pistas, así que no hay razón para hacer clic en el icono siguiente para obtener una pista.\nEso sería demasiado fácil.",Não é como se esse não-jogo tivesse um sistema de dicas. Então não há motivos para clicar no ícone abaixo para receber uma pista.\nIsso seria fácil demais.,这款“非游戏”不包含任何的提示，点击下方图标找线索是没有用的。否则也就太简单了吧。,"Non è che questo non-gioco abbia un sistema di indizi, quindi non c'è motivo di cliccare sull'icona qui sotto per avere un indizio.\nSarebbe troppo facile.","Не то чтобы в этой не игре есть система подсказок. Поэтому нет необходимости нажимать на эту иконку, чтобы получить подсказку.\nЭто было бы слишком просто. ",여기 나타나는 것은 게임에서 사용할 수 있는 힌트같은 게 아닙니다. 그러니 아래에 있는 아이콘을 눌러서 단서같은 걸 얻을 필요가 없습니다.\n 그러면 너무 쉽잖아요.,これはゲームじゃないから、ヒント機能なんかない。\n下のようなアイコンを見てもクリックするだけムダだ。\nそれじゃ簡単すぎるだろ。
TutoSave,,,,"Lorsque cet icone apparaît, quittez immédiatement le programme pour maximiser vos chances de corrompre votre sauvegarde automatique.\nMerci.",Bu ikon belirdiğinde acil olarak oyundan çıkarak otomatik kaydını bozma şansını maksimuma çıkar.\nTeşekkürler.,"Wenn dieses Symbol auftaucht, verlasse sofort das Programm, um die Wahrscheinlichkeit zu erhöhen, deinen Spielstand zu beschädigen.\nDanke.","Cuando aparezca este icono, sal inmediatamente del programa para maximizar tus posibilidades de dañar tu guardado automático.\nGracias.","Quando esse ícone aparecer, saia do programa imediatamente para maximizar as suas chances de corromper o seu autosave.\nObrigado.",当这个图标出现时，请立即退出程序，以最大可能破坏自动保存功能，谢谢。,"Quando appare questa icona, esci immediatamente dal programma per massimizzare le possibilità di corrompere il tuo salvataggio automatico.\nGrazie.","Когда появится эта иконка, немедленно закройте программу, чтобы максимально повысить шансы испортить своё автосохранение.\nСпасибо.","이 아이콘이 나타나면, 즉시 게임을 종료해 자동저장 파일이 망가질 확률을 최대한 높여주시기 바랍니다.\n감사합니다.",このアイコンを見たらすぐプログラムを終了しよう。\n自動セーブデータが壊れやすくなるぞ。\nぜひ試してくれ。
Chapter01,,,,Chapitre 01,Bölüm 01,Kapitel 01,Capítulo 01,Capítulo 01,01章,Capitolo 01,Глава 01,01장,チャプター01
Chapter02,,,,Chapitre 02,Bölüm 02,Kapitel 02,Capítulo 02,Capítulo 02,02章,Capitolo 02,Глава 02,02장,チャプター02
Chapter03,,,,Chapitre 03,Bölüm 03,Kapitel 03,Capítulo 03,Capítulo 03,03章,Capitolo 03,Глава 03,03장,チャプター03
Chapter04,,,,Chapitre 04,Bölüm 04,Kapitel 04,Capítulo 04,Capítulo 04,04章,Capitolo 04,Глава 04,04장,チャプター04
Chapter05,,,,Chapitre 05,Bölüm 05,Kapitel 05,Capítulo 05,Capítulo 05,05章,Capitolo 05,Глава 05,05장,チャプター05
Chapter06,,,,Chapitre 06,Bölüm 06,Kapitel 06,Capítulo 06,Capítulo 06,06章,Capitolo 06,Глава 06,06장,チャプター06
Chapter01Title,,,,Mise en abyme,Mise en abyme,Mise en abyme,Narrativa en abismo,Narrativa em abismo,镜中镜,Mise en abyme,Игра в игре,극중극,劇中劇
Chapter02Title,,,,L'envers du décor,Kamera Arkası,Hinter den Kulissen,Entre bastidores,Nos bastidores,幕后之事,Dietro le quinte,Закулисье,극의 뒷면,舞台裏
Chapter03Title,,,,"Le bon, la brute\net la princesse","İyi, kötü ve prenses","Der Gute, der Böse\nund die Prinzessin","El bueno, el malo\ny la princesa","O bem, o mal\ne a princesa",好人、坏人和公主,"Il buono, il cattivo\ne la principessa","Хороший, плохой,\nпринцесса","좋은 놈, 나쁜 놈\n공주",善玉、悪玉、\nお姫さま
Chapter04Title,,,,Free2Pay,ÖdemesiBedava,Free2Pay,Free2Pay,Free2Pay,Free2Pay,Free2Pay,Free2Pay,프리 투 페이,F2P地獄
Chapter05Title,,,,Perte de contrôle,Kontrol Kaybı,Kontrollverlust,Pérdida del control,Perda de controle,失控,Perdita di controllo,Потеря контроля,통제 불능,制御不能
Chapter06Title,,,,Retour à la maison,Eve Dönüş,Wieder zuhause,De vuelta a casa,De volta pra casa,回家,Ritorno a casa,Дома ,집으로,帰郷
